--- BÁO CÁO CÁC NÚT ĐANG HOẠT ĐỘNG (ACTIVE) ---
Tổng cộng: 210 nút.
--------------------------------------------------
ID: 72     | Labels: B.42
ID: 90     | Labels: Phòng F305 (Cửa 1)
ID: 95     | Labels: Cửa 1 phòng E203
ID: 150    | Labels: Bộ môn Vật lý - Tin học (Lầu3)
ID: 172    | Labels: B.40A
ID: 370    | Labels: Phòng 202 (Tòa F - Cửa 2)
ID: 373    | Labels: Phòng E206
ID: 376    | Labels: Cuối cầu thang bên trái tòa B tầng trệt
ID: 394    | Labels: Phòng 209 (Tòa F - Phòng máy)
ID: 416    | Labels: Phòng F206a
ID: 420    | Labels: Phòng bộ môn hóa phân tích B.27
ID: 447    | Labels: B.11A
ID: 563    | Labels: Cầu thang phải (Tầng 2) & Giao điểm Tòa E
ID: 565    | Labels: H2.2
ID: 589    | Labels: E303a
ID: 812    | Labels: Đầu cầu thang bên trái tòa B tầng 2
ID: 857    | Labels: Phòng 18 (Tòa F)
ID: 874    | Labels: Cuối cầu thang bên phải tòa B tầng 1
ID: 924    | Labels: Restroom GV/Khách (Tòa F - T1)
ID: 956    | Labels: Cuối cầu thang bên trái tòa B tầng 2
ID: 1034   | Labels: Phòng 13 (Tòa F)
ID: 1067   | Labels: Cuối bãi đổ xe sau
ID: 1147   | Labels: Đầu cầu thang bên phải tòa B tầng 2
ID: 1156   | Labels: Nhà vệ sinh nam Tòa F (Tầng 1)
ID: 1171   | Labels: Bộ môn Di truyền (Tòa F)
ID: 1261   | Labels: Cửa E302 (2)
ID: 1272   | Labels: Phòng 111 (Tòa F)
ID: 1348   | Labels: Phòng không tên (Lầu3)
ID: 1350   | Labels: Phòng F303 (Cửa 2)
ID: 1359   | Labels: E402 (2)
ID: 1380   | Labels: E304
ID: 1381   | Labels: Phòng phó hiệu trưởng B.11B
ID: 1451   | Labels: Đầu cầu thang bên trái tòa B tầng 1
ID: 1610   | Labels: Văn phòng Hội đoàn (Tòa F)
ID: 1613   | Labels: E404 (1)
ID: 1679   | Labels: Phòng thí nghiệm sinh học công nghệ thực vật
ID: 1721   | Labels: Phòng không tên (Tòa F - T1)
ID: 1829   | Labels: Khu tự học UEH
ID: 1873   | Labels: Phòng kế hoạch - tài chính
ID: 1932   | Labels: Cửa E204
ID: 2001   | Labels: B.14
ID: 2014   | Labels: Phòng 201b (Tòa E)
ID: 2130   | Labels: E402 (1)
ID: 2161   | Labels: B.40B
ID: 2230   | Labels: Cầu thang trái Tòa F (Tầng trệt)
ID: 2265   | Labels: Giữa bãi xe sau
ID: 2378   | Labels: Văn phòng Khoa KHVL (Tòa F)
ID: 2426   | Labels: Nhà vệ sinh nữ Tòa F (Tầng trệt 1)
ID: 2496   | Labels: B.44
ID: 2502   | Labels: Phòng Thông tin - Truyền thông (Tòa F)
ID: 2539   | Labels: Phòng 100 (Tòa F)
ID: 2561   | Labels: Phòng không tên (Tòa F - Tầng trệt)
ID: 2562   | Labels: Phòng không tên C (Lầu4)
ID: 2606   | Labels: B.37
ID: 2696   | Labels: Phòng thí nghiệm hóa xúc tác
ID: 2758   | Labels: Cầu thang 2 (Lầu1)
ID: 2809   | Labels: Phòng mất nhãn (Tòa F - Tầng trệt)
ID: 2841   | Labels: Phòng bộ môn vật lý địa cầu
ID: 2883   | Labels: Đầu cầu thang bên phải tòa B tầng trệt
ID: 2917   | Labels: Đầu cầu thang bên phải tòa B tầng 3
ID: 2990   | Labels: Cầu thang y tế (Tòa E)
ID: 3017   | Labels: Đầu cầu thang bên trái tòa B tầng 3
ID: 3065   | Labels: Phòng E103b
ID: 3135   | Labels: Phòng bộ môn vi sinh
ID: 3200   | Labels: Phòng 09 (Tòa F - Phải - Tầng trệt)
ID: 3224   | Labels: Phòng 101b (Tòa F)
ID: 3251   | Labels: Phòng tổ chức - hành chính
ID: 3271   | Labels: Cầu thang trái Tòa F (Tầng 2)
ID: 3306   | Labels: Phòng 12 (Tòa F)
ID: 3321   | Labels: Khu tự học HCMUS
ID: 3365   | Labels: Cầu thang trái Tòa F (Tầng 1)
ID: 3377   | Labels: B.41, B.40B
ID: 3395   | Labels: Căn tin UEH
ID: 3405   | Labels: Phòng 101a (Tòa F)
ID: 3422   | Labels: Nhà vệ sinh nam Tòa F (Tầng trệt - Phải)
ID: 3437   | Labels: Cầu thang y tế (Tòa E) - Lầu2
ID: 3446   | Labels: Phòng F304 (Cửa 1)
ID: 3496   | Labels: Cầu thang phải 2 Tòa F (Tầng 2)
ID: 3519   | Labels: Trung tâm sáng tạo khoa học kỹ thuật B.30
ID: 3536   | Labels: Phòng đọc Khoa MTR (Tòa F)
ID: 3631   | Labels: Phòng F.105
ID: 3646   | Labels: Văn phòng chuyên san khoa học tự nhiên
ID: 3670   | Labels: Phòng 03 (Tòa F)
ID: 3704   | Labels: Phòng F305 (Cửa 2)
ID: 3717   | Labels: Cửa E301 (2)
ID: 3770   | Labels: Cuối cầu thang bên phải tòa B tầng trệt
ID: 3808   | Labels: Cầu thang 2 (Lầu4)
ID: 3946   | Labels: Cửa E301 (1)
ID: 4032   | Labels: Đầu cầu thang bên trái tòa B
ID: 4215   | Labels: Phòng 09 (Tòa F - Tầng trệt)
